,Total_Importance,Xx,Yy,Size,Segment
0,0.6366498152000648,110,3,1.844770073890686,143
1,1.414492863255312,145,3,2.077213764190674,153
2,0.5941768210283171,44,3,2.4892287254333496,44
3,0.6187390926571755,115,4,1.854690432548523,143
4,1.3218070545234273,255,4,1.8695484399795532,279
5,1.9712241641924995,217,4,3.1404075622558594,244
6,2.157293377076386,138,4,1.981308937072754,153
7,1.5325567538258975,5,5,1.8607513904571533,13
8,1.2551259055922745,133,5,1.9124704599380493,153
9,0.6079456798738413,199,6,4.935135364532471,199
10,2.1487216641447415,148,6,2.4281747341156006,169
11,2.096741629046334,253,6,2.276211977005005,279
12,0.6078683129511336,29,6,4.860415935516357,44
13,1.2451514972752935,106,7,4.694518566131592,114
14,0.5517598982151137,10,7,2.896723747253418,13
15,0.7274398278328794,233,8,3.497776508331299,263
16,1.147911501653367,217,8,2.5317540168762207,244
17,1.1931198464915174,137,8,2.1326568126678467,153
18,1.2451889237127727,137,8,2.1326568126678467,153
19,0.5940843879078928,203,9,1.7990314960479736,226
20,1.2759849394079699,158,9,2.562176465988159,173
21,1.480845262827228,158,9,2.562176465988159,173
22,2.0431439986636746,38,9,2.0251920223236084,44
23,1.895672924769005,128,9,2.67561674118042,143
24,1.1295272352277455,256,10,2.4761199951171875,279
25,1.2060063715874507,19,10,9.264470100402832,23
26,1.1069384688033568,12,10,2.210893392562866,23
27,0.6056377090320653,24,10,3.9653236865997314,23
28,1.924321057553546,187,11,1.8532088994979858,199
29,2.00279717201044,187,11,1.8532088994979858,199
30,1.3428337173499243,23,11,1.9553762674331665,23
31,1.839618483172894,146,11,1.8943901062011719,153
32,0.5363792359330907,192,11,2.6042556762695312,199
33,0.6399974733657294,162,12,3.27469801902771,191
34,2.375679142265079,111,12,2.1565101146698,114
35,1.7042662579178647,7,12,2.6682093143463135,4
36,1.663239485820201,7,12,2.6682093143463135,4
37,1.7450397215352718,57,12,2.525665521621704,68
38,1.6128928178155442,57,12,2.525665521621704,68
39,2.0574213474129452,157,12,1.8575273752212524,191
40,0.7226348020476937,28,13,1.9929221868515015,44
41,1.9144689406010649,142,13,2.0342438220977783,153
42,1.7629256603364625,142,13,2.0342438220977783,153
43,1.4993227913125622,208,13,3.3176472187042236,226
44,1.236736722739136,233,13,1.9174600839614868,263
45,1.5484838782256336,233,13,1.9174600839614868,263
46,1.1872972971467723,269,14,2.224174976348877,298
47,1.3289940968383456,53,14,2.121990442276001,48
48,0.6922041638439113,195,15,2.4843592643737793,199
49,0.626385172568349,70,15,2.6317362785339355,84
50,0.576438130838802,70,15,2.6317362785339355,84
51,2.0566980322595034,106,16,1.8405739068984985,114
52,1.440055963798665,128,16,1.8318684101104736,139
53,1.967328198781155,49,16,2.277918577194214,48
54,2.1273996649147993,217,16,2.0816216468811035,240
55,1.7202668623928261,217,16,2.0816216468811035,240
56,1.0931659433839107,6,16,2.529613494873047,7
57,1.1230185254450646,17,17,1.874766230583191,23
58,1.9268875909102856,176,17,2.214101791381836,191
59,1.8482820130367794,244,17,2.608729600906372,279
60,1.8047499709740185,244,17,2.608729600906372,279
61,0.5594653750972409,78,17,9.133142471313477,84
62,2.109506374976568,147,17,2.355426788330078,173
63,1.9046811507886467,9,17,1.8944189548492432,4
64,1.927305101098846,9,17,1.8944189548492432,4
65,2.3229062641059115,210,17,3.1800806522369385,240
66,1.5657310341032442,99,17,3.157524347305298,94
67,1.6540132214524679,235,18,2.145843982696533,248
68,1.9582087994467698,235,18,2.145843982696533,248
69,1.4510163027363265,257,18,3.0181779861450195,279
70,1.478043983758108,65,18,4.243770122528076,100
71,1.2484222581396722,51,19,1.8112707138061523,60
72,1.180528428469832,150,20,10.819111824035645,181
73,1.0582148803517297,180,20,3.0887138843536377,191
74,1.8077611245748775,14,21,3.0550007820129395,18
75,1.7699452152913728,14,21,3.0550007820129395,18
76,1.2095226342433762,241,21,4.186598777770996,248
77,2.2551154800662334,247,21,2.734140396118164,279
